date,theme,mention_count,avg_sentiment,discovery_signal
2025-10-16,Funding/M&A,18,0.296,20
2025-10-16,Open-Source,17,0.268,24
2025-10-16,Safety Incident,6,-0.203,4
2025-10-17,Model Release,24,0.677,40
2025-10-17,Research Breakthrough,19,0.516,29
2025-10-17,Product Launch,18,0.297,23
2025-10-17,Policy & Regulation,13,0.192,16
2025-10-17,Funding/M&A,10,0.039,13
2025-10-17,Open-Source,13,0.483,20
2025-10-17,Safety Incident,6,-0.471,6
2025-10-18,Model Release,20,0.499,34
2025-10-18,Research Breakthrough,16,0.325,21
2025-10-18,Product Launch,12,0.103,16
2025-10-18,Policy & Regulation,9,0.333,16
2025-10-18,Funding/M&A,11,-0.099,10
2025-10-18,Open-Source,12,0.132,14
2025-10-18,Safety Incident,5,-0.533,4
2025-10-19,Model Release,17,0.672,30
2025-10-19,Research Breakthrough,13,0.413,22
2025-10-19,Product Launch,12,0.367,19
2025-10-19,Policy & Regulation,10,0.302,13
2025-10-19,Funding/M&A,13,0.037,14
2025-10-19,Open-Source,15,0.548,25
2025-10-19,Safety Incident,4,-0.349,3
2025-10-20,Model Release,19,0.233,26
2025-10-20,Research Breakthrough,11,0.545,18
2025-10-20,Product Launch,14,0.467,23
2025-10-20,Policy & Regulation,9,-0.071,10
2025-10-20,Funding/M&A,9,0.12,10
2025-10-20,Open-Source,14,0.438,22
2025-10-20,Safety Incident,7,-0.409,6
2025-10-21,Model Release,21,0.48,35
2025-10-21,Research Breakthrough,25,0.345,36
2025-10-21,Product Launch,18,0.264,25
2025-10-21,Policy & Regulation,9,0.198,13
2025-10-21,Funding/M&A,16,0.585,26
2025-10-21,Open-Source,16,0.402,29
2025-10-21,Safety Incident,5,-0.363,3
2025-10-22,Model Release,16,-0.014,14
2025-10-22,Research Breakthrough,24,0.324,33
2025-10-22,Product Launch,15,0.39,20
2025-10-22,Policy & Regulation,14,-0.129,12
2025-10-22,Funding/M&A,14,0.184,21
2025-10-22,Open-Source,16,0.183,19
2025-10-22,Safety Incident,6,-0.319,6
2025-10-23,Model Release,26,0.507,40
2025-10-23,Research Breakthrough,20,0.513,37
2025-10-23,Product Launch,18,0.217,21
2025-10-23,Policy & Regulation,13,-0.056,14
2025-10-23,Funding/M&A,10,0.368,13
2025-10-23,Open-Source,14,0.591,21
2025-10-23,Safety Incident,7,-0.437,5
2025-10-24,Model Release,28,0.62,40
2025-10-24,Research Breakthrough,13,0.625,20
2025-10-24,Product Launch,15,0.303,23
2025-10-24,Policy & Regulation,10,0.067,11
2025-10-24,Funding/M&A,15,0.091,19
2025-10-24,Open-Source,13,0.419,19
2025-10-24,Safety Incident,6,-0.632,6
2025-10-25,Model Release,26,0.394,42
2025-10-25,Research Breakthrough,19,0.647,34
2025-10-25,Product Launch,15,0.436,23
2025-10-25,Policy & Regulation,7,0.054,6
2025-10-25,Funding/M&A,11,0.254,17
2025-10-25,Open-Source,13,0.567,22
2025-10-25,Safety Incident,4,-0.704,3
2025-10-26,Model Release,15,0.464,23
2025-10-26,Research Breakthrough,18,0.493,31
2025-10-26,Product Launch,17,0.164,21
2025-10-26,Policy & Regulation,8,-0.242,8
2025-10-26,Funding/M&A,13,0.179,16
2025-10-26,Open-Source,15,-0.022,17
2025-10-26,Safety Incident,5,-0.553,6
2025-10-27,Model Release,27,0.303,38
2025-10-27,Research Breakthrough,17,0.388,22
2025-10-27,Product Launch,20,0.465,34
2025-10-27,Policy & Regulation,8,0.425,15
2025-10-27,Funding/M&A,12,0.017,12
2025-10-27,Open-Source,15,0.236,20
2025-10-27,Safety Incident,7,-0.721,8
2025-10-28,Model Release,33,0.127,33
2025-10-28,Research Breakthrough,20,0.294,27
2025-10-28,Product Launch,11,0.239,18
2025-10-28,Policy & Regulation,10,0.001,9
2025-10-28,Funding/M&A,15,0.139,23
2025-10-28,Open-Source,17,0.333,26
2025-10-28,Safety Incident,6,-0.691,6
2025-10-29,Model Release,26,0.38,40
2025-10-29,Research Breakthrough,19,0.556,36
2025-10-29,Product Launch,15,0.593,25
2025-10-29,Policy & Regulation,11,0.487,18
2025-10-29,Funding/M&A,17,0.327,20
2025-10-29,Open-Source,16,0.305,19
2025-10-29,Safety Incident,5,-0.432,5
2025-10-30,Model Release,28,0.295,36
2025-10-30,Research Breakthrough,18,0.38,24
2025-10-30,Product Launch,18,0.276,22
2025-10-30,Policy & Regulation,12,-0.087,12
2025-10-30,Funding/M&A,15,0.212,21
2025-10-30,Open-Source,12,0.332,18
2025-10-30,Safety Incident,8,-0.738,7
2025-10-31,Model Release,28,0.318,39
2025-10-31,Research Breakthrough,20,0.524,35
2025-10-31,Product Launch,16,0.307,21
2025-10-31,Policy & Regulation,10,0.276,13
2025-10-31,Funding/M&A,12,0.092,16
2025-10-31,Open-Source,12,0.564,18
2025-10-31,Safety Incident,5,-0.413,5
2025-11-01,Model Release,22,0.541,35
2025-11-01,Research Breakthrough,18,0.316,29
2025-11-01,Product Launch,16,0.377,24
2025-11-01,Policy & Regulation,8,-0.009,9
2025-11-01,Funding/M&A,11,0.202,12
2025-11-01,Open-Source,13,0.275,16
2025-11-01,Safety Incident,5,-0.784,5
2025-11-02,Model Release,25,0.34,32
2025-11-02,Research Breakthrough,13,0.453,15
2025-11-02,Product Launch,15,0.4,22
2025-11-02,Policy & Regulation,8,0.083,10
2025-11-02,Funding/M&A,13,0.183,15
2025-11-02,Open-Source,11,0.433,19
2025-11-02,Safety Incident,16,-0.639,12
2025-11-03,Model Release,15,0.409,20
2025-11-03,Research Breakthrough,14,0.124,15
2025-11-03,Product Launch,18,0.044,16
2025-11-03,Policy & Regulation,11,-0.011,13
2025-11-03,Funding/M&A,14,0.178,15
2025-11-03,Open-Source,14,0.49,21
2025-11-03,Safety Incident,5,-0.252,4
2025-11-04,Model Release,26,0.353,42
2025-11-04,Research Breakthrough,22,0.42,36
2025-11-04,Product Launch,25,0.53,43
2025-11-04,Policy & Regulation,10,0.725,16
2025-11-04,Funding/M&A,13,0.054,18
2025-11-04,Open-Source,17,0.143,22
2025-11-04,Safety Incident,8,-0.507,6
2025-11-05,Model Release,24,0.271,33
2025-11-05,Research Breakthrough,19,0.612,30
2025-11-05,Product Launch,14,0.147,20
2025-11-05,Policy & Regulation,11,0.471,18
2025-11-05,Funding/M&A,11,0.03,13
2025-11-05,Open-Source,13,0.827,23
2025-11-05,Safety Incident,8,-0.187,7
2025-11-06,Model Release,23,0.301,33
2025-11-06,Research Breakthrough,24,0.49,33
2025-11-06,Product Launch,19,0.159,18
2025-11-06,Policy & Regulation,11,-0.208,11
2025-11-06,Funding/M&A,18,0.515,28
2025-11-06,Open-Source,15,0.524,27
2025-11-06,Safety Incident,7,-0.476,9
2025-11-07,Model Release,23,0.263,32
2025-11-07,Research Breakthrough,20,0.296,27
2025-11-07,Product Launch,13,0.23,21
2025-11-07,Policy & Regulation,12,0.033,12
2025-11-07,Funding/M&A,11,0.369,15
2025-11-07,Open-Source,18,0.153,22
2025-11-07,Safety Incident,8,-0.811,9
2025-11-08,Model Release,14,0.334,20
2025-11-08,Research Breakthrough,19,-0.088,14
2025-11-08,Product Launch,13,0.287,16
2025-11-08,Policy & Regulation,9,-0.164,8
2025-11-08,Funding/M&A,9,0.224,13
2025-11-08,Open-Source,16,0.282,21
2025-11-08,Safety Incident,6,-0.503,5
2025-11-09,Model Release,15,0.417,21
2025-11-09,Research Breakthrough,13,0.194,19
2025-11-09,Product Launch,14,0.487,23
2025-11-09,Policy & Regulation,6,-0.145,6
2025-11-09,Funding/M&A,9,-0.016,10
2025-11-09,Open-Source,12,0.218,15
2025-11-09,Safety Incident,5,-0.916,5
2025-11-10,Model Release,21,0.585,32
2025-11-10,Research Breakthrough,13,0.694,20
2025-11-10,Product Launch,15,0.388,22
2025-11-10,Policy & Regulation,8,0.084,9
2025-11-10,Funding/M&A,15,0.286,28
2025-11-10,Open-Source,10,0.396,13
2025-11-10,Safety Incident,7,-0.302,7
2025-11-11,Model Release,25,0.216,25
2025-11-11,Research Breakthrough,27,0.571,44
2025-11-11,Product Launch,22,0.415,37
2025-11-11,Policy & Regulation,9,-0.078,9
2025-11-11,Funding/M&A,15,0.352,20
2025-11-11,Open-Source,17,0.797,34
2025-11-11,Safety Incident,8,-0.453,8
2025-11-12,Model Release,35,0.369,58
2025-11-12,Research Breakthrough,19,0.586,35
2025-11-12,Product Launch,17,0.478,25
2025-11-12,Policy & Regulation,11,0.05,16
2025-11-12,Funding/M&A,15,0.348,20
2025-11-12,Open-Source,17,0.188,20
2025-11-12,Safety Incident,8,-0.457,9
2025-11-13,Model Release,27,0.314,43
2025-11-13,Research Breakthrough,19,0.206,29
2025-11-13,Product Launch,20,-0.11,20
2025-11-13,Policy & Regulation,12,0.364,16
2025-11-13,Funding/M&A,13,0.016,12
2025-11-13,Open-Source,15,0.142,16
2025-11-13,Safety Incident,6,-0.72,4
2025-11-14,Model Release,22,0.227,25
2025-11-14,Research Breakthrough,20,0.471,30
2025-11-14,Product Launch,15,0.567,26
2025-11-14,Policy & Regulation,12,-0.415,10
2025-11-14,Funding/M&A,21,0.103,26
2025-11-14,Open-Source,13,0.493,19
2025-11-14,Safety Incident,7,-0.73,6
2025-11-15,Model Release,24,0.446,37
2025-11-15,Research Breakthrough,23,0.405,33
2025-11-15,Product Launch,7,0.598,11
2025-11-15,Policy & Regulation,8,0.288,13
2025-11-15,Funding/M&A,11,-0.078,12
2025-11-15,Open-Source,11,0.189,16
2025-11-15,Safety Incident,3,-0.348,3
2025-11-16,Model Release,30,0.409,36
2025-11-16,Research Breakthrough,14,0.492,23
2025-11-16,Product Launch,18,-0.073,18
2025-11-16,Policy & Regulation,11,0.328,19
2025-11-16,Funding/M&A,10,0.378,17
2025-11-16,Open-Source,16,0.53,28
2025-11-16,Safety Incident,5,-0.711,5
2025-11-17,Model Release,23,0.345,31
2025-11-17,Research Breakthrough,17,0.522,25
2025-11-17,Product Launch,17,0.324,24
2025-11-17,Policy & Regulation,10,0.192,16
2025-11-17,Funding/M&A,11,0.402,18
2025-11-17,Open-Source,8,0.263,10
2025-11-17,Safety Incident,7,-0.416,7
2025-11-18,Model Release,31,0.188,36
2025-11-18,Research Breakthrough,18,0.449,28
2025-11-18,Product Launch,20,0.149,28
2025-11-18,Policy & Regulation,14,0.328,21
2025-11-18,Funding/M&A,15,0.301,22
2025-11-18,Open-Source,15,0.632,30
2025-11-18,Safety Incident,9,-0.444,9
2025-11-19,Model Release,30,0.35,46
2025-11-19,Research Breakthrough,21,0.445,38
2025-11-19,Product Launch,20,0.292,30
2025-11-19,Policy & Regulation,13,0.102,16
2025-11-19,Funding/M&A,12,0.174,13
2025-11-19,Open-Source,17,0.187,24
2025-11-19,Safety Incident,8,-0.4,7
2025-11-20,Model Release,30,-0.004,28
2025-11-20,Research Breakthrough,21,0.542,34
2025-11-20,Product Launch,16,0.304,21
2025-11-20,Policy & Regulation,11,0.109,13
2025-11-20,Funding/M&A,17,0.3,26
2025-11-20,Open-Source,17,0.248,21
2025-11-20,Safety Incident,6,0.068,6
2025-11-21,Model Release,24,0.285,32
2025-11-21,Research Breakthrough,17,0.144,19
2025-11-21,Product Launch,13,0.257,16
2025-11-21,Policy & Regulation,10,0.089,11
2025-11-21,Funding/M&A,14,0.11,17
2025-11-21,Open-Source,11,0.518,17
2025-11-21,Safety Incident,7,-0.391,6
2025-11-22,Model Release,23,0.281,36
2025-11-22,Research Breakthrough,20,0.567,30
2025-11-22,Product Launch,12,0.161,15
2025-11-22,Policy & Regulation,11,-0.111,13
2025-11-22,Funding/M&A,11,-0.182,9
2025-11-22,Open-Source,6,0.265,8
2025-11-22,Safety Incident,5,-0.509,4
2025-11-23,Model Release,20,0.62,38
2025-11-23,Research Breakthrough,13,0.706,20
2025-11-23,Product Launch,13,0.555,17
2025-11-23,Policy & Regulation,11,-0.176,10
2025-11-23,Funding/M&A,11,0.485,16
2025-11-23,Open-Source,13,0.513,20
2025-11-23,Safety Incident,5,-0.461,5
2025-11-24,Model Release,28,0.18,34
2025-11-24,Research Breakthrough,20,0.45,30
2025-11-24,Product Launch,17,0.155,19
2025-11-24,Policy & Regulation,12,-0.147,14
2025-11-24,Funding/M&A,13,-0.05,14
2025-11-24,Open-Source,15,0.537,27
2025-11-24,Safety Incident,6,-0.577,5
2025-11-25,Model Release,25,0.216,34
2025-11-25,Research Breakthrough,22,0.392,30
2025-11-25,Product Launch,20,0.19,23
2025-11-25,Policy & Regulation,13,0.002,12
2025-11-25,Funding/M&A,16,0.332,23
2025-11-25,Open-Source,17,0.495,27
2025-11-25,Safety Incident,8,-0.152,8
2025-11-26,Model Release,31,0.507,48
2025-11-26,Research Breakthrough,18,0.643,27
2025-11-26,Product Launch,24,0.437,38
2025-11-26,Policy & Regulation,13,0.365,17
2025-11-26,Funding/M&A,12,0.072,14
2025-11-26,Open-Source,14,0.428,22
2025-11-26,Safety Incident,7,-0.161,5
2025-11-27,Model Release,24,0.418,36
2025-11-27,Research Breakthrough,23,0.369,30
2025-11-27,Product Launch,17,0.157,23
2025-11-27,Policy & Regulation,12,0.187,17
2025-11-27,Funding/M&A,17,0.342,27
2025-11-27,Open-Source,19,0.307,26
2025-11-27,Safety Incident,6,-0.397,5
2025-11-28,Model Release,27,0.445,36
2025-11-28,Research Breakthrough,16,0.417,23
2025-11-28,Product Launch,17,0.072,20
2025-11-28,Policy & Regulation,8,-0.338,8
2025-11-28,Funding/M&A,10,0.079,10
2025-11-28,Open-Source,11,0.328,15
2025-11-28,Safety Incident,8,-0.369,7
2025-11-29,Model Release,26,0.551,45
2025-11-29,Research Breakthrough,16,0.663,32
2025-11-29,Product Launch,17,0.599,31
2025-11-29,Policy & Regulation,12,-0.146,9
2025-11-29,Funding/M&A,11,-0.121,10
2025-11-29,Open-Source,15,0.28,22
2025-11-29,Safety Incident,4,-0.539,4
2025-11-30,Model Release,24,0.402,42
2025-11-30,Research Breakthrough,21,0.322,34
2025-11-30,Product Launch,13,0.277,18
2025-11-30,Policy & Regulation,12,-0.153,12
2025-11-30,Funding/M&A,12,0.326,17
2025-11-30,Open-Source,16,0.272,25
2025-11-30,Safety Incident,6,-0.702,6
2025-12-01,Model Release,26,0.286,33
2025-12-01,Research Breakthrough,18,0.22,28
2025-12-01,Product Launch,14,0.161,20
2025-12-01,Policy & Regulation,12,0.18,18
2025-12-01,Funding/M&A,12,-0.008,15
2025-12-01,Open-Source,17,0.341,21
2025-12-01,Safety Incident,8,-0.346,6
2025-12-02,Model Release,32,0.091,36
2025-12-02,Research Breakthrough,18,0.365,24
2025-12-02,Product Launch,18,0.41,28
2025-12-02,Policy & Regulation,14,0.247,18
2025-12-02,Funding/M&A,15,0.277,24
2025-12-02,Open-Source,19,0.649,36
2025-12-02,Safety Incident,9,-0.771,9
2025-12-03,Model Release,54,0.36,75
2025-12-03,Research Breakthrough,21,0.555,37
2025-12-03,Product Launch,15,0.319,20
2025-12-03,Policy & Regulation,11,0.121,13
2025-12-03,Funding/M&A,13,0.042,15
2025-12-03,Open-Source,17,0.204,20
2025-12-03,Safety Incident,7,-0.377,5
2025-12-04,Model Release,31,0.202,53
2025-12-04,Research Breakthrough,19,0.338,28
2025-12-04,Product Launch,17,0.429,31
2025-12-04,Policy & Regulation,12,0.081,13
2025-12-04,Funding/M&A,14,0.438,23
2025-12-04,Open-Source,15,0.678,29
2025-12-04,Safety Incident,8,-0.569,7
2025-12-05,Model Release,22,0.434,33
2025-12-05,Research Breakthrough,12,0.647,21
2025-12-05,Product Launch,20,0.255,28
2025-12-05,Policy & Regulation,13,0.12,16
2025-12-05,Funding/M&A,19,0.15,24
2025-12-05,Open-Source,19,0.255,23
2025-12-05,Safety Incident,5,-0.354,5
2025-12-06,Model Release,26,0.106,35
2025-12-06,Research Breakthrough,21,0.462,33
2025-12-06,Product Launch,17,0.346,26
2025-12-06,Policy & Regulation,8,0.019,7
2025-12-06,Funding/M&A,13,0.275,18
2025-12-06,Open-Source,14,0.12,19
2025-12-06,Safety Incident,5,-0.427,5
2025-12-07,Model Release,20,0.566,34
2025-12-07,Research Breakthrough,17,0.58,25
2025-12-07,Product Launch,17,0.291,26
2025-12-07,Policy & Regulation,10,-0.015,11
2025-12-07,Funding/M&A,11,-0.031,11
2025-12-07,Open-Source,16,0.383,22
2025-12-07,Safety Incident,7,-0.784,4
2025-12-08,Model Release,26,0.383,39
2025-12-08,Research Breakthrough,16,0.453,21
2025-12-08,Product Launch,18,-0.011,19
2025-12-08,Policy & Regulation,12,-0.266,10
2025-12-08,Funding/M&A,14,0.459,19
2025-12-08,Open-Source,16,0.178,17
2025-12-08,Safety Incident,8,-0.33,6
2025-12-09,Model Release,31,0.466,49
2025-12-09,Research Breakthrough,29,0.589,36
2025-12-09,Product Launch,19,0.147,23
2025-12-09,Policy & Regulation,13,-0.067,11
2025-12-09,Funding/M&A,17,0.288,22
2025-12-09,Open-Source,19,0.522,34
2025-12-09,Safety Incident,7,-0.31,6
2025-12-10,Model Release,35,0.315,38
2025-12-10,Research Breakthrough,22,0.159,27
2025-12-10,Product Launch,19,0.208,21
2025-12-10,Policy & Regulation,11,-0.102,11
2025-12-10,Funding/M&A,17,0.308,23
2025-12-10,Open-Source,20,0.154,27
2025-12-10,Safety Incident,8,-0.407,8
2025-12-11,Model Release,27,0.494,43
2025-12-11,Research Breakthrough,30,0.425,51
2025-12-11,Product Launch,21,0.069,29
2025-12-11,Policy & Regulation,11,-0.352,11
2025-12-11,Funding/M&A,17,0.189,21
2025-12-11,Open-Source,21,0.528,32
2025-12-11,Safety Incident,9,-0.674,7
2025-12-12,Model Release,22,-0.046,19
2025-12-12,Research Breakthrough,23,0.282,30
2025-12-12,Product Launch,14,0.436,22
2025-12-12,Policy & Regulation,12,0.031,11
2025-12-12,Funding/M&A,11,0.331,16
2025-12-12,Open-Source,17,-0.169,19
2025-12-12,Safety Incident,6,-0.059,6
2025-12-13,Model Release,24,0.469,35
2025-12-13,Research Breakthrough,20,0.364,33
2025-12-13,Product Launch,18,0.369,24
2025-12-13,Policy & Regulation,10,0.104,9
2025-12-13,Funding/M&A,10,0.349,13
2025-12-13,Open-Source,17,0.287,24
2025-12-13,Safety Incident,5,-0.363,5
2025-12-14,Model Release,28,0.594,53
2025-12-14,Research Breakthrough,18,0.259,28
2025-12-14,Product Launch,12,0.201,17
2025-12-14,Policy & Regulation,11,0.337,16
2025-12-14,Funding/M&A,8,0.13,10
2025-12-14,Open-Source,12,0.654,21
2025-12-14,Safety Incident,5,-0.366,4
2025-12-15,Model Release,33,0.399,43
2025-12-15,Research Breakthrough,23,0.906,39
2025-12-15,Product Launch,20,0.367,30
2025-12-15,Policy & Regulation,12,0.139,14
2025-12-15,Funding/M&A,16,-0.063,21
2025-12-15,Open-Source,19,0.186,24
2025-12-15,Safety Incident,8,-0.538,7
2025-12-16,Model Release,29,0.56,45
2025-12-16,Research Breakthrough,22,0.577,36
2025-12-16,Product Launch,17,0.039,15
2025-12-16,Policy & Regulation,11,-0.26,9
2025-12-16,Funding/M&A,15,0.19,17
2025-12-16,Open-Source,15,0.221,17
2025-12-16,Safety Incident,7,-0.321,5
2025-12-17,Model Release,31,0.239,53
2025-12-17,Research Breakthrough,16,0.515,25
2025-12-17,Product Launch,18,0.337,26
2025-12-17,Policy & Regulation,12,0.127,15
2025-12-17,Funding/M&A,18,0.07,25
2025-12-17,Open-Source,17,0.044,21
2025-12-17,Safety Incident,8,-0.609,8
2025-12-18,Model Release,29,0.533,47
2025-12-18,Research Breakthrough,25,0.602,44
2025-12-18,Product Launch,17,0.446,26
2025-12-18,Policy & Regulation,37,0.136,50
2025-12-18,Funding/M&A,13,0.107,16
2025-12-18,Open-Source,14,0.189,18
2025-12-18,Safety Incident,8,-0.414,9
2025-12-19,Model Release,25,0.473,39
2025-12-19,Research Breakthrough,19,0.526,25
2025-12-19,Product Launch,17,0.165,19
2025-12-19,Policy & Regulation,8,-0.03,6
2025-12-19,Funding/M&A,15,0.137,15
2025-12-19,Open-Source,13,0.536,20
2025-12-19,Safety Incident,7,-0.516,6
2025-12-20,Model Release,17,0.342,23
2025-12-20,Research Breakthrough,27,0.442,40
2025-12-20,Product Launch,18,0.252,25
2025-12-20,Policy & Regulation,9,0.33,12
2025-12-20,Funding/M&A,12,0.384,17
2025-12-20,Open-Source,13,0.506,22
2025-12-20,Safety Incident,5,-0.417,4
2025-12-21,Model Release,21,0.233,32
2025-12-21,Research Breakthrough,23,0.949,47
2025-12-21,Product Launch,13,0.105,19
2025-12-21,Policy & Regulation,8,-0.007,8
2025-12-21,Funding/M&A,15,-0.002,19
2025-12-21,Open-Source,17,0.37,26
2025-12-21,Safety Incident,5,-0.466,4
2025-12-22,Model Release,17,0.425,27
2025-12-22,Research Breakthrough,14,0.226,17
2025-12-22,Product Launch,16,0.225,19
2025-12-22,Policy & Regulation,10,0.105,11
2025-12-22,Funding/M&A,13,0.139,17
2025-12-22,Open-Source,15,0.555,25
2025-12-22,Safety Incident,8,-0.226,5
2025-12-23,Model Release,35,0.671,57
2025-12-23,Research Breakthrough,22,0.416,35
2025-12-23,Product Launch,21,0.16,31
2025-12-23,Policy & Regulation,12,0.025,15
2025-12-23,Funding/M&A,19,0.088,25
2025-12-23,Open-Source,18,0.115,19
2025-12-23,Safety Incident,7,-0.541,6
2025-12-24,Model Release,31,0.58,54
2025-12-24,Research Breakthrough,31,0.436,51
2025-12-24,Product Launch,21,0.551,33
2025-12-24,Policy & Regulation,15,0.343,20
2025-12-24,Funding/M&A,15,0.271,20
2025-12-24,Open-Source,15,0.73,27
2025-12-24,Safety Incident,10,-0.542,9
2025-12-25,Model Release,34,0.313,43
2025-12-25,Research Breakthrough,20,0.529,31
2025-12-25,Product Launch,20,-0.126,18
2025-12-25,Policy & Regulation,14,-0.042,13
2025-12-25,Funding/M&A,13,0.193,20
2025-12-25,Open-Source,14,0.35,22
2025-12-25,Safety Incident,8,-0.467,7
2025-12-26,Model Release,27,0.332,30
2025-12-26,Research Breakthrough,17,0.129,24
2025-12-26,Product Launch,20,0.138,27
2025-12-26,Policy & Regulation,16,-0.062,20
2025-12-26,Funding/M&A,14,0.137,15
2025-12-26,Open-Source,14,0.329,15
2025-12-26,Safety Incident,8,-0.508,8
2025-12-27,Model Release,23,0.89,40
2025-12-27,Research Breakthrough,15,0.607,31
2025-12-27,Product Launch,13,0.609,20
2025-12-27,Policy & Regulation,13,0.064,19
2025-12-27,Funding/M&A,15,0.063,24
2025-12-27,Open-Source,11,0.344,19
2025-12-27,Safety Incident,5,-0.565,5
2025-12-28,Model Release,26,0.42,37
2025-12-28,Research Breakthrough,18,0.595,35
2025-12-28,Product Launch,17,0.054,20
2025-12-28,Policy & Regulation,10,0.287,11
2025-12-28,Funding/M&A,13,-0.012,17
2025-12-28,Open-Source,16,0.439,26
2025-12-28,Safety Incident,6,-0.328,5
